2 ; 38
4 ; 3
6 ; 4
8 ; 3
10 ; 5
12 ; 6
14 ; 5
16 ; 8
18 ; 12
20 ; 10
22 ; 10
24 ; 10
26 ; 11
28 ; 13
30 ; 13
32 ; 15
34 ; 14
36 ; 15
38 ; 15
40 ; 17
42 ; 19
44 ; 18
46 ; 18
48 ; 23
50 ; 23
52 ; 22
54 ; 22
56 ; 25
58 ; 31
60 ; 24
62 ; 24
64 ; 27
66 ; 27
68 ; 29
70 ; 33
72 ; 32
74 ; 31
76 ; 33
78 ; 37
80 ; 32
82 ; 37
84 ; 31
86 ; 36
88 ; 46
90 ; 40
92 ; 41
94 ; 40
96 ; 40
98 ; 42
100 ; 43
102 ; 41
104 ; 41
106 ; 51
108 ; 47
110 ; 50
112 ; 48
114 ; 44
116 ; 51
118 ; 47
120 ; 53
122 ; 48
124 ; 54
126 ; 58
128 ; 65
130 ; 61
132 ; 51
134 ; 70
136 ; 55
138 ; 58
140 ; 62
142 ; 61
144 ; 56
146 ; 66
148 ; 58
150 ; 60
152 ; 68
154 ; 67
156 ; 52
158 ; 56
160 ; 60
162 ; 52
164 ; 52
166 ; 59
168 ; 56
170 ; 57
172 ; 59
174 ; 61
176 ; 71
178 ; 53
180 ; 63
182 ; 53
184 ; 58
186 ; 54
188 ; 96
190 ; 77
192 ; 57
194 ; 62
196 ; 58
198 ; 62
200 ; 59
202 ; 63
204 ; 60
206 ; 62
208 ; 74
210 ; 60
212 ; 65
214 ; 123
216 ; 86
218 ; 70
220 ; 75
222 ; 97
224 ; 88
226 ; 68
228 ; 80
230 ; 79
232 ; 103
234 ; 80
236 ; 128
238 ; 81
240 ; 66
242 ; 70
244 ; 73
246 ; 71
248 ; 73
250 ; 72
252 ; 72
254 ; 71
256 ; 76
258 ; 77
260 ; 79
262 ; 73
264 ; 79
266 ; 75
268 ; 84
270 ; 74
272 ; 86
274 ; 87
276 ; 96
278 ; 99
280 ; 77
282 ; 90
284 ; 91
286 ; 83
288 ; 79
290 ; 79
292 ; 84
294 ; 83
296 ; 82
298 ; 87
300 ; 87
302 ; 88
304 ; 87
306 ; 107
308 ; 85
310 ; 89
312 ; 85
314 ; 91
316 ; 88
318 ; 104
320 ; 91
322 ; 98
324 ; 99
326 ; 116
328 ; 94
330 ; 98
332 ; 99
334 ; 92
336 ; 95
338 ; 110
340 ; 98
342 ; 91
344 ; 106
346 ; 101
348 ; 93
350 ; 103
352 ; 105
354 ; 99
356 ; 100
358 ; 96
360 ; 97
362 ; 107
364 ; 104
366 ; 104
368 ; 103
370 ; 104
372 ; 106
374 ; 115
376 ; 109
378 ; 104
380 ; 106
382 ; 113
384 ; 109
386 ; 105
388 ; 118
390 ; 115
392 ; 127
394 ; 109
396 ; 115
398 ; 114
400 ; 104
402 ; 113
404 ; 124
406 ; 114
408 ; 120
410 ; 116
412 ; 112
414 ; 129
416 ; 119
418 ; 119
420 ; 114
422 ; 119
424 ; 112
426 ; 192
428 ; 128
430 ; 113
432 ; 113
434 ; 123
436 ; 117
438 ; 125
440 ; 127
442 ; 125
444 ; 135
446 ; 129
448 ; 115
450 ; 119
452 ; 122
454 ; 132
456 ; 127
458 ; 139
460 ; 129
462 ; 125
464 ; 122
466 ; 134
468 ; 126
470 ; 132
472 ; 126
474 ; 135
476 ; 144
478 ; 150
480 ; 146
482 ; 143
484 ; 133
486 ; 135
488 ; 134
490 ; 132
492 ; 146
494 ; 138
496 ; 131
498 ; 138
